"Bug ID","Status","Priority"
7288,"OPEN","P3"
7344,"RESOLVED","P3"
6394,"OPEN","P3"
7228,"CLOSED","P3"
7293,"OPEN","P3"
7345,"OPEN","P3"
6558,"DEFERRED","P3"
3163,"OPEN","P3"
7346,"OPEN","P3"
6957,"OPEN","P3"
7272,"OPEN","P3"
7331,"OPEN","P3"
3234,"OPEN","P3"
7274,"CLOSED","P3"
7296,"OPEN","P3"
7332,"CLOSED","P3"
7108,"CLOSED","P3"
7301,"OPEN","P3"
4824,"OPEN","P3"
7130,"OPEN","P3"
7302,"READY TO TEST","P3"
7277,"OPEN","P3"
7335,"OPEN","P3"
7278,"DEFERRED","P3"
7304,"CLOSED","P3"
7279,"OPEN","P3"
7305,"CLOSED","P3"
5533,"OPEN","P3"
7306,"CLOSED","P3"
7205,"READY TO TEST","P3"
7282,"CLOSED","P3"
7283,"CLOSED","P3"
7340,"OPEN","P3"
5593,"DEFERRED","P3"
7259,"CLOSED","P3"
7286,"CLOSED","P3"
2133,"OPEN","P3"
7224,"CLOSED","P3"
7263,"CLOSED","P3"
6319,"OPEN","P3"
7225,"CLOSED","P3"
7264,"CLOSED","P3"
7294,"CLOSED","P3"
4188,"OPEN","P3"
5052,"OPEN","P3"
7303,"DEFERRED","P3"
7336,"OPEN","P3"
7203,"READY TO TEST","P3"
5551,"DEFERRED","P3"
7339,"OPEN","P3"
5581,"DEFERRED","P3"
7341,"OPEN","P3"
7260,"CLOSED","P3"
7334,"OPEN","P3"
7242,"READY TO TEST","P3"
7221,"CLOSED","P3"
7342,"READY TO TEST","P3"
7307,"OPEN","P3"
5985,"OPEN","P3"
7319,"OPEN","P4"
5133,"OPEN","P4"
7256,"CLOSED","P4"
6076,"OPEN","P4"
2265,"CLOSED","P4"
7314,"CLOSED","P4"
2912,"DEFERRED","P4"
7268,"READY TO TEST","P4"
7317,"OPEN","P4"
2913,"DEFERRED","P4"
7234,"CLOSED","P4"
7269,"READY TO TEST","P4"
7235,"OPEN","P4"
7271,"READY TO TEST","P4"
7295,"OPEN","P4"
7237,"READY TO TEST","P4"
7239,"CLOSED","P4"
7275,"CLOSED","P4"
7333,"OPEN","P4"
7241,"CLOSED","P4"
7134,"OPEN","P4"
7147,"OPEN","P4"
7249,"OPEN","P4"
5472,"OPEN","P4"
7337,"OPEN","P4"
7281,"OPEN","P4"
2031,"OPEN","P4"
2036,"OPEN","P4"
7211,"CLOSED","P4"
7308,"OPEN","P4"
2112,"OPEN","P4"
7218,"READY TO TEST","P4"
7284,"OPEN","P4"
2124,"OPEN","P4"
7312,"OPEN","P4"
7287,"CLOSED","P4"
7313,"OPEN","P4"
7093,"OPEN","P4"
7276,"CLOSED","P4"
1682,"CLOSED","P4"
7253,"OPEN","P4"
7254,"READY TO TEST","P4"
7338,"OPEN","P4"
7255,"CLOSED","P4"
7309,"CLOSED","P4"
7343,"OPEN","P4"
1674,"OPEN","P5"
7188,"OPEN","P5"
1753,"OPEN","P5"
